Content,Video title,Video publish time,Duration,Comments added,Average view duration,Shares,Likes,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,42,0:01:48,106,802,17709,532.7518,408,26.577,201679,4.01
LDKlZmAqpHw,Create The Earth with React Three Fiber,"Dec 25, 2024",603,10,0:01:42,9,52,633,18.0724,7,0.873,11958,2.76
63o2gHHgeH4,23 Cool Three.js Projects,"Jan 2, 2025",662,7,0:02:18,12,74,1025,39.5269,13,1.322,8762,5.98
M7ARBA3EcZI,Three.js Roadmap,"Dec 17, 2024",357,5,0:01:58,14,114,1828,59.9704,27,2.263,20473,4.7
RSV7_f5dJhM,ThreeJs Tutorial: Textures,"Dec 11, 2024",618,4,0:02:10,5,33,527,19.0666,3,1.015,8308,3.08
f4zncVufL_I,Create a 3D Globe with Three.js,"Nov 5, 2024",1072,3,0:02:02,1,17,647,21.968,8,1.258,4084,5.85
FntV9iEJ0tU,Create the Earth with THREE.js,"Dec 21, 2023",1227,2,0:02:14,5,27,1316,49.3083,16,4.198,7980,6.92
wrp17rdc4dU,Three.js Tips and Techniques,"Apr 30, 2024",1571,2,0:06:01,0,4,55,5.5244,2,0.034,1247,2.17
1qpeo5ewz_8,Three.js Tutorial: Scroll Animation,"Oct 8, 2024",879,1,0:02:29,3,13,456,18.9965,3,1.048,3227,6.1
5Wj3TnktlGc,Build the Solar System with Three.js,"Mar 26, 2024",1449,1,0:01:53,3,6,179,5.6249,0,0.236,673,8.02
Cxd2gYRrz4c,THREE.js: Loading a Model,"Nov 26, 2022",607,1,0:02:10,1,3,198,7.1675,1,0.238,1186,6.24
Il_GKGFggWY,Wormhole Effect,"Jul 20, 2022",1392,1,0:01:32,1,2,55,1.4193,1,0.042,369,5.96
JGpfwvX0iCY,Three.js Project: Realistic Rendering with Environment Maps,"Oct 15, 2024",603,1,0:01:50,1,2,154,4.7147,1,0.284,1893,4.01
SNPKwVBY5Tk,Satisfying Physics with Three.js: Roll The Dice,"Sep 17, 2024",1188,1,0:02:29,1,3,94,3.8947,2,0.213,1377,2.4
XPhAR1YdD6o,Getting Started with Three.js: A Beginner's Tutorial,"Feb 28, 2024",1064,1,0:03:24,4,46,1300,73.8218,25,2.683,12077,2.87
hriAN0iX7zY,Learn Creative Coding with JavaScript,"Nov 22, 2023",541,1,0:02:04,0,3,37,1.2761,3,0.099,403,4.47
yCWmaI5E5ZI,Three.js Tutorial: Dynamic 3D Art,"Jul 23, 2024",1556,1,0:01:26,0,3,51,1.2222,1,0.088,845,0.95
1Ww5BtQ8JlQ,Learn Three.js: Spirograph Art,"May 7, 2024",1038,0,0:00:55,0,1,12,0.1837,0,0.037,413,0.97
1j6aCk2gOqs,Coding an Animated Starfield,"May 13, 2021",769,0,0:01:15,0,0,20,0.4176,0,0.023,194,4.64
1kxmeeUSCh8,Build a 3D Mandala Maker,"Mar 19, 2024",1665,0,0:03:09,0,0,12,0.631,1,0.048,340,1.18
2f2R_Ki9Gq4,Overview of Code Art,"Apr 17, 2021",446,0,0:00:02,0,0,1,0.0007,0,,114,0
2hfdYAAKKME,Learn Three.js: MatCap Material,"Dec 6, 2021",728,0,0:01:51,0,2,118,3.6596,1,0.248,577,4.85
4T428AY50S8,Expanding Rainbow Shader,"Mar 31, 2023",1255,0,0:01:25,1,0,12,0.2842,0,0.019,255,1.96
66nWhVoH1wY,My Aikido Story,"Sep 20, 2019",216,0,0:02:09,0,1,8,0.2867,0,0.01,22,22.73
