Content,Video title,Video publish time,Duration,Comments added,Average view duration,Shares,Likes,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,11,0:01:56,31,239,5235,169.7723,108,5.464,55849,4.41
63o2gHHgeH4,23 Cool Three.js Projects,"Jan 2, 2025",662,7,0:02:18,12,74,1025,39.5269,13,1.322,8762,5.98
wrp17rdc4dU,Three.js Tips and Techniques,"Apr 30, 2024",1571,2,0:06:24,0,2,23,2.4588,0,0.021,350,3.71
FntV9iEJ0tU,Create the Earth with THREE.js,"Dec 21, 2023",1227,1,0:01:58,3,6,352,11.6323,3,0.576,2337,6.68
hriAN0iX7zY,Learn Creative Coding with JavaScript,"Nov 22, 2023",541,1,0:02:06,0,2,19,0.6668,2,0.024,145,7.59
1Ww5BtQ8JlQ,Learn Three.js: Spirograph Art,"May 7, 2024",1038,0,0:00:15,0,0,4,0.0167,0,,108,0.93
1j6aCk2gOqs,Coding an Animated Starfield,"May 13, 2021",769,0,0:01:54,0,0,8,0.2553,0,0.002,55,5.45
1kxmeeUSCh8,Build a 3D Mandala Maker,"Mar 19, 2024",1665,0,0:04:00,0,0,9,0.6012,1,0.026,90,3.33
1qpeo5ewz_8,Three.js Tutorial: Scroll Animation,"Oct 8, 2024",879,0,0:02:50,1,3,114,5.4003,0,0.093,833,5.64
2hfdYAAKKME,Learn Three.js: MatCap Material,"Dec 6, 2021",728,0,0:03:02,0,0,30,1.523,0,0.017,168,3.57
5Wj3TnktlGc,Build the Solar System with Three.js,"Mar 26, 2024",1449,0,0:02:08,0,2,58,2.066,0,0.067,208,9.13
9p6Bk22NXt8,Three.js Lines: Exploding Effect,"Jul 9, 2024",908,0,0:01:27,0,0,13,0.3176,0,0.005,342,2.34
BHM6RagphSc,Three.js: Buffer Geometry Part Two,"Jan 10, 2024",702,0,0:00:44,0,0,2,0.0247,0,0.001,81,0
BQ-ML0ewaGU,Three.js Beginner Project: SciFi Flight (encore),"Sep 2, 2024",684,0,0:02:30,0,1,18,0.7543,0,0.012,323,3.41
Bd3I_cHZyGo,Three.js for Beginners: Add the Moon to the Earth,"May 21, 2024",264,0,0:01:18,0,1,10,0.2167,0,0.007,138,0.72
CQazp0y-bRw,Getting Started Coding Art with ThreeJs Part2,"Jul 17, 2021",1115,0,0:00:09,0,0,1,0.0027,0,0.005,51,1.96
Cxd2gYRrz4c,THREE.js: Loading a Model,"Nov 26, 2022",607,0,0:02:51,0,2,46,2.1949,0,0.034,335,7.16
D6oyccQHRbA,Pretty Polygons with Three.js,"Jun 20, 2022",1196,0,0:00:18,0,0,4,0.0207,0,0.002,71,0
G4AlMb49fA4,Add Awesome Audio FX Fast For #threejs,"Aug 26, 2024",60,0,0:00:26,0,3,58,0.4253,1,,757,4.23
Il_GKGFggWY,Wormhole Effect,"Jul 20, 2022",1392,0,0:01:49,0,0,19,0.5798,0,0.003,101,5.94
InvbGEtXPD8,Particle Flow Sim with JavaScript,"Nov 19, 2024",1237,0,0:01:58,0,0,13,0.4293,0,0.01,366,1.37
JGpfwvX0iCY,Three.js Project: Realistic Rendering with Environment Maps,"Oct 15, 2024",603,0,0:02:16,0,2,37,1.4072,0,0.044,498,4.82
JxXqPvZNQP4,Create 3D Text on the Web,"Jan 24, 2024",516,0,0:02:18,0,0,13,0.4991,0,0.01,117,1.71
KIMsUG-MQTo,Animated Line Art With Three.js,"Jun 25, 2024",815,0,0:01:05,0,1,37,0.6767,1,0.043,189,1.59
KwSSpRYmQUk,Coding a SciFi Flight,"Sep 14, 2021",893,0,0:00:56,0,0,3,0.0472,0,0,81,1.23
LDKlZmAqpHw,Create The Earth with React Three Fiber,"Dec 25, 2024",603,0,0:01:33,1,4,110,2.8434,4,0.147,1177,3.74
LtPVZUndoI0,Transform your Three.js Project with Sound FX,"Aug 27, 2024",308,0,0:01:01,0,0,12,0.2052,2,0.013,224,2.23
M4DlpXWv_eo,React Three Fiber Project: Orbit Trails,"Nov 12, 2024",1282,0,0:02:48,0,1,33,1.5414,0,0.031,395,4.05
M7ARBA3EcZI,Three.js Roadmap,"Dec 17, 2024",357,0,0:02:04,0,15,410,14.2092,9,0.373,3374,7.35
MGH5pUwL5Vo,Code Art with Sprites in THREE.js,"Jul 21, 2023",41,0,0:00:19,0,1,8,0.0426,0,,267,0
NF4nuwJ9Y-8,My Coding Story,"Jun 23, 2020",347,0,0:00:48,0,0,2,0.0269,0,0,48,2.08
Nw9Vaeqcpag,How to make a Kaleidoscope Effect with Three.js,"Aug 17, 2022",1483,0,0:02:09,0,0,5,0.1805,0,0.002,84,0
O8T5Ef8KVas,ThreeJs – Subsurface Scattering,"Apr 15, 2023",577,0,0:01:20,0,0,8,0.1797,0,0,82,2.44
OErgZhwSLX0,Three.js Game Dev: Wormhole Blaster,"Aug 20, 2024",1076,0,0:01:56,0,2,35,1.1365,0,0.026,373,3.75
Q7soTiQ1IBk,Three.js – Buffer Geometry Art,"Mar 14, 2022",1245,0,0:01:56,0,0,20,0.6454,0,0.011,150,3.33
Qzy6cQN6aqw,Three.js Animation with Motion Capture,"Feb 7, 2024",449,0,0:01:48,1,2,31,0.9317,0,0.011,144,7.64
RNwXaCPMxLI,Animated Short: Pasta Sauce For Cats,"Jul 2, 2024",260,0,0:01:28,0,0,1,0.0246,0,,133,0
RSV7_f5dJhM,ThreeJs Tutorial: Textures,"Dec 11, 2024",618,0,0:02:06,0,2,40,1.4088,0,0.052,844,2.25
RfGhvUeZNXE,Three.js Painting Effects,"Jan 31, 2024",806,0,0:00:38,0,0,2,0.0216,0,0,87,0
RgoyCVXUVVM,Three.js Project: Creative Coding,"Sep 10, 2024",997,0,0:01:56,1,0,51,1.6525,1,0.12,614,5.7
S8wh4iazeqc,"Three.js Physics: Roll the Dice, Part 2","Sep 21, 2024",388,0,0:00:50,0,0,6,0.0834,0,0,274,1.09
SFM9-DWgecI,My Workspace Setup,"Apr 22, 2022",543,0,0:01:43,0,1,14,0.4019,0,0.031,378,1.85
SNPKwVBY5Tk,Satisfying Physics with Three.js: Roll The Dice,"Sep 17, 2024",1188,0,0:03:00,0,0,30,1.5028,0,0.027,388,2.58
SYR5GOfHJGc,Create a 3D Glowing Cube-iverse with Three.js,"Feb 14, 2024",967,0,0:00:56,0,1,9,0.1416,0,0,201,1.99
T9QVQo93Qlk,The Origins of Three.js,"Apr 23, 2024",366,0,0:03:10,0,0,2,0.106,0,0.002,99,1.01
TmCx6b6Ni8Y,Three.js Project: Spinning Neon Cubes,"Jun 16, 2023",1419,0,0:04:13,0,0,10,0.703,0,0,112,2.68
V4piptMZ_C4,Getting Started Coding Art with Three.js,"Jul 11, 2021",511,0,0:01:43,0,0,2,0.0574,0,0,60,1.67
V9rOVgK6pDQ,How to Get Ideas for Creative Projects,"Oct 22, 2024",541,0,0:02:59,0,0,19,0.9451,0,0.032,304,3.95
Ve4Q5hrIVUg,Learn Three.js: Explosion Transition,"May 28, 2024",969,0,0:01:55,0,0,10,0.3195,0,0.001,135,2.22
W4CwiVEbdvg,3D Art Project with React Three Fiber,"Dec 3, 2024",735,0,0:00:13,0,0,13,0.0486,0,0.033,497,1.01
WkHqgt2dPlg,Computer Vision with JavaScript,"Dec 27, 2023",381,0,0:01:49,0,1,7,0.2121,1,0.002,118,4.24
WzXwuQ95iQw,Getting Started with Three.js + React,"Jan 2, 2024",614,0,0:00:32,0,0,2,0.0183,0,0.008,108,1.85
XPhAR1YdD6o,Getting Started with Three.js: A Beginner's Tutorial,"Feb 28, 2024",1064,0,0:03:40,2,17,342,20.9516,8,0.338,3656,3.09
XaDQI1HmoOQ,Coding Magic: Interactive Earth with Three.js,"Sep 24, 2024",608,0,0:01:06,0,0,74,1.3601,1,0.176,405,3.7
YmwjIHGnGNM,"Computer Vision with JavaScript, Part 2","Jan 16, 2024",199,0,0:00:45,0,0,5,0.0636,0,0.001,94,0
_UArj2QH_Hk,Exploring Midjourney,"May 13, 2023",693,0,0:00:30,0,0,2,0.0168,0,0.006,88,0
a7qmBRAXqCY,Learn Three.js: Animated Text Effects,"Aug 6, 2024",1250,0,0:02:06,1,1,41,1.4462,1,0.073,267,5.24
agNZuqehHtg,Adding Physics to Three.js with Rapier,"Mar 6, 2024",665,0,0:02:03,0,3,63,2.1619,0,0.047,368,4.62
b4bwE7rcD8Q,THREE.js Tutorial: Grid Layout,"Oct 19, 2023",1331,0,0:00:31,0,0,7,0.0606,0,,81,6.17
