Content,Video title,Video publish time,Duration,Comments added,Average view duration,Shares,Likes,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,495,0:02:01,1178,7038,155710,5235.4864,4725,72.531,2130416,3.66
FntV9iEJ0tU,Create the Earth with THREE.js,"Dec 21, 2023",1227,53,0:02:24,273,1119,33913,1361.3689,552,11.386,405346,4.58
XPhAR1YdD6o,Getting Started with Three.js: A Beginner's Tutorial,"Feb 28, 2024",1064,34,0:03:36,101,481,13014,784.0356,290,8.405,191123,3.04
tBSzJstOGnM,Three.js Project: Vertex Earth,"Aug 13, 2024",1378,25,0:02:38,20,152,2758,121.4381,56,1.008,30381,5.02
1qpeo5ewz_8,Three.js Tutorial: Scroll Animation,"Oct 8, 2024",879,16,0:02:12,17,114,1950,71.7493,28,2.452,16371,5.61
npzvE952Ycs,Is Three.js Worth Learning?,"May 25, 2024",54,16,0:00:41,107,1484,20442,232.8561,341,,345937,3.84
wrp17rdc4dU,Three.js Tips and Techniques,"Apr 30, 2024",1571,16,0:04:59,18,102,1347,112.0344,32,0.257,29070,2.54
rmNMltWCdjQ,Three.js Project: Interactive Exploding Model,"Jul 17, 2024",1008,14,0:02:01,15,91,1420,48.0465,23,0.452,19655,3.78
a7qmBRAXqCY,Learn Three.js: Animated Text Effects,"Aug 6, 2024",1250,12,0:01:50,24,108,2929,89.977,33,1.106,44813,3.67
OErgZhwSLX0,Three.js Game Dev: Wormhole Blaster,"Aug 20, 2024",1076,11,0:01:37,28,84,1703,46.1354,18,0.563,20796,4.18
XaDQI1HmoOQ,Coding Magic: Interactive Earth with Three.js,"Sep 24, 2024",608,11,0:01:21,10,78,1817,41.3745,22,1.733,18136,4.65
agNZuqehHtg,Adding Physics to Three.js with Rapier,"Mar 6, 2024",665,11,0:02:01,16,106,2957,99.9792,37,1.133,25853,4.28
f4zncVufL_I,Create a 3D Globe with Three.js,"Nov 5, 2024",1072,11,0:02:03,11,108,2153,74.0801,28,3.547,18867,5.07
LDKlZmAqpHw,Create The Earth with React Three Fiber,"Dec 25, 2024",603,10,0:01:42,9,52,633,18.0724,7,0.873,11958,2.76
M4DlpXWv_eo,React Three Fiber Project: Orbit Trails,"Nov 12, 2024",1282,10,0:02:27,4,65,972,39.694,18,2.207,13428,3.86
kduBV0OhrII,How To Install Three.js,"Jun 18, 2024",432,10,0:02:16,23,104,4537,171.758,25,3.633,26344,7.52
LtPVZUndoI0,Transform your Three.js Project with Sound FX,"Aug 27, 2024",308,9,0:01:18,15,51,681,14.8746,8,2.921,10681,3.46
RgoyCVXUVVM,Three.js Project: Creative Coding,"Sep 10, 2024",997,9,0:02:00,11,103,1623,54.3864,36,0.478,21545,4.08
SNPKwVBY5Tk,Satisfying Physics with Three.js: Roll The Dice,"Sep 17, 2024",1188,9,0:02:20,12,64,1444,56.2682,21,0.823,21477,3.47
w_ku0HjutZI,Fly Thru a Wireframe Wormhole,"Mar 13, 2024",1304,9,0:02:57,16,87,1970,97.0716,26,0.384,31148,2.88
yCWmaI5E5ZI,Three.js Tutorial: Dynamic 3D Art,"Jul 23, 2024",1556,9,0:01:23,7,54,1064,24.6036,17,0.154,21915,2.46
5Wj3TnktlGc,Build the Solar System with Three.js,"Mar 26, 2024",1449,8,0:02:04,44,78,2691,92.7474,21,1.347,17153,5.31
JGpfwvX0iCY,Three.js Project: Realistic Rendering with Environment Maps,"Oct 15, 2024",603,8,0:01:43,17,73,1139,32.7209,13,0.842,14965,3.85
V9rOVgK6pDQ,How to Get Ideas for Creative Projects,"Oct 22, 2024",541,8,0:02:51,10,47,488,23.1924,10,0.917,10305,2.55
h1UQdbuF204,Learn Three.js: Simple Particle Effects,"Jun 4, 2024",709,8,0:01:37,28,110,3743,101.7038,29,4.854,26961,3.54
63o2gHHgeH4,23 Cool Three.js Projects,"Jan 2, 2025",662,7,0:02:18,12,74,1025,39.5269,13,1.322,8762,5.98
wuiOMMAPb4s,Create a Simple Game with Three.js - Part 1,"Apr 16, 2024",540,7,0:01:17,6,31,798,17.2759,7,0.189,16914,2.73
BQ-ML0ewaGU,Three.js Beginner Project: SciFi Flight (encore),"Sep 2, 2024",684,6,0:01:54,7,80,1083,34.5877,18,0.521,15603,3.9
b78_tqkBuLM,Three.js Beginner Tutorial: Animating Stuff,"Oct 2, 2024",1044,6,0:02:17,20,66,1143,43.7298,16,0.47,20202,3.04
j2jl6jFjFRQ,Three.js Tutorial : Fragmented Sculpture Art,"Jul 30, 2024",752,6,0:01:22,10,58,876,20.1498,10,0.086,18097,2.81
jPbOKwXqdn8,Learn Three.js: Metaballs With Physics,"Jun 11, 2024",464,6,0:01:15,8,62,1126,23.6101,21,0.213,15076,3.22
zsDsH8q41UE,Three.js Tutorial: Improved Noise,"Apr 10, 2024",1081,6,0:02:05,6,47,618,21.5147,12,0.142,12002,2.07
1kxmeeUSCh8,Build a 3D Mandala Maker,"Mar 19, 2024",1665,5,0:02:57,1,22,347,17.0781,4,0.076,10402,1.95
9p6Bk22NXt8,Three.js Lines: Exploding Effect,"Jul 9, 2024",908,5,0:01:44,13,50,1122,32.5273,16,0.22,17961,3.1
Cxd2gYRrz4c,THREE.js: Loading a Model,"Nov 26, 2022",607,5,0:01:56,7,35,2759,89.2069,17,0.8,20060,6.41
KIMsUG-MQTo,Animated Line Art With Three.js,"Jun 25, 2024",815,5,0:01:37,19,88,2151,58.2376,26,1.273,19233,5.24
M7ARBA3EcZI,Three.js Roadmap,"Dec 17, 2024",357,5,0:01:58,14,114,1828,59.9704,27,2.263,20473,4.7
Qzy6cQN6aqw,Three.js Animation with Motion Capture,"Feb 7, 2024",449,5,0:01:37,16,45,1264,34.3625,12,0.473,12957,3.76
T9QVQo93Qlk,The Origins of Three.js,"Apr 23, 2024",366,5,0:02:12,6,60,677,25.0109,10,0.071,15001,2.24
W4CwiVEbdvg,3D Art Project with React Three Fiber,"Dec 3, 2024",735,5,0:01:36,9,35,440,11.8089,2,0.429,7523,2.87
wtj0NZ1RRlk,I Built a Three.js Website in a Day,"Feb 21, 2024",1521,5,0:02:33,5,45,1287,54.7494,8,0.016,20784,3.59
Bd3I_cHZyGo,Three.js for Beginners: Add the Moon to the Earth,"May 21, 2024",264,4,0:01:03,5,46,1023,18.1493,20,0.21,17526,3.2
RSV7_f5dJhM,ThreeJs Tutorial: Textures,"Dec 11, 2024",618,4,0:02:10,5,33,527,19.0666,3,1.015,8308,3.08
RfGhvUeZNXE,Three.js Painting Effects,"Jan 31, 2024",806,4,0:01:18,0,29,480,10.4116,10,0.072,12938,1.82
