Content,Video title,Video publish time,Duration,Comments added,Likes,Average view duration,Shares,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions click-through rate (%)
Total,,,,628,8670,0:02:00,1457,194324,6497.4721,5890,69.49,3.71
FntV9iEJ0tU,Create the Earth with THREE.js,"Dec 21, 2023",1227,70,1386,0:02:27,316,38655,1588.6328,696,10.979,4.1
XPhAR1YdD6o,Getting Started with Three.js: A Beginner's Tutorial,"Feb 28, 2024",1064,34,474,0:03:36,100,12855,774.2657,286,8.197,3.04
tBSzJstOGnM,Three.js Project: Vertex Earth,"Aug 13, 2024",1378,25,151,0:02:38,17,2739,120.6768,56,0.938,5.02
1qpeo5ewz_8,Three.js Tutorial: Scroll Animation,"Oct 8, 2024",879,16,112,0:02:11,17,1903,69.7697,28,2.434,5.62
npzvE952Ycs,Is Three.js Worth Learning?,"May 25, 2024",54,16,1456,0:00:41,107,20074,228.8178,338,,3.84
wrp17rdc4dU,Three.js Tips and Techniques,"Apr 30, 2024",1571,16,101,0:04:59,18,1334,111.0285,32,0.248,2.54
rmNMltWCdjQ,Three.js Project: Interactive Exploding Model,"Jul 17, 2024",1008,14,91,0:02:02,15,1411,48.0131,23,0.41,3.77
Q7soTiQ1IBk,Three.js – Buffer Geometry Art,"Mar 14, 2022",1245,13,135,0:02:20,24,5882,229.6372,82,0.337,4.59
a7qmBRAXqCY,Learn Three.js: Animated Text Effects,"Aug 6, 2024",1250,12,108,0:01:50,23,2915,89.3519,33,1.093,3.67
OErgZhwSLX0,Three.js Game Dev: Wormhole Blaster,"Aug 20, 2024",1076,11,82,0:01:37,28,1685,45.4325,18,0.553,4.18
XaDQI1HmoOQ,Coding Magic: Interactive Earth with Three.js,"Sep 24, 2024",608,11,78,0:01:22,10,1785,40.8991,21,1.648,4.67
agNZuqehHtg,Adding Physics to Three.js with Rapier,"Mar 6, 2024",665,11,105,0:02:01,16,2928,99.0117,37,1.11,4.27
f4zncVufL_I,Create a 3D Globe with Three.js,"Nov 5, 2024",1072,11,108,0:02:05,11,2076,72.3477,28,3.424,5.01
